ID_ViThuoc,TenViThuoc,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
104,Cây bách bộ,-0.03831686,0.001447605,0.022733465,0.07387408,-0.010348875,-0.044826098,-0.031767152,0.01867083,0.018808119,-0.022291007,0.026765801,0.017904136,0.018284038,0.0965907,0.04239419,-0.006226849
105,Xoan,0.021411609,-0.006770526,0.016106784,-0.016692393,-0.044549417,-0.015948445,-0.026604177,-0.030824874,-0.021153754,-0.011764783,0.022291984,0.02415809,0.026983356,-0.0019448772,-0.013731303,-0.024678867
106,Cây thùn mũn,-0.011331871,-0.0064899186,-0.008857697,0.045894004,-0.011018094,-0.012155101,-0.042574108,-0.0023558885,0.0033238828,0.021638596,0.031309385,0.029012114,0.0123695005,0.04491617,0.024553737,0.022289902
107,Hạt bí ngô,-0.021621695,0.008845654,0.03303045,0.030728864,-0.016370513,-0.043768823,-0.019999387,0.007515978,0.0117465025,-0.04516027,0.020174038,0.0018751621,0.0043466114,0.0693917,0.0158774,-0.027773004
108,Cây chân bầu,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
109,Cây thạch lựu,0.010278281,-0.009448846,0.014197186,0.021795535,-0.026498642,-0.038700037,-0.03722898,0.0041609798,0.0020588823,0.009051304,0.027233347,0.011965379,0.0043885284,0.02953894,0.007546678,0.0019824095
110,Cây cau (Hạt),0.026571777,-0.020367272,-0.007915769,0.0058578197,-0.024568755,-0.022968978,-0.030795315,-0.009221192,-0.0065079476,0.012056313,0.025980286,0.0067046024,0.0005201616,0.025682677,0.004478895,0.001166787
111,Cây rùm nao,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
112,Quán chúng,0.012753174,-0.029982004,0.012364693,-0.028636739,-0.014398877,0.008762404,-0.027498608,-0.02792897,-0.0073897424,-0.027398817,0.018151809,0.017943975,0.028209984,0.010375518,-0.0049423,-0.028480355
113,Mặc nưa,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
114,Cây sầu đâu rừng,0.039702766,-0.02635146,0.003405653,-0.014165256,-0.0367775,-0.023424663,-0.018445643,-0.023657948,-0.018064966,-0.0061421627,0.018408101,0.00011201948,-0.0037412094,0.019474667,-0.009738168,-0.027235474
